Name;Price;URL;idproduto;idgradex;idgradey;descrição;idmarca;iddepartamento;classificacao;idcodigonbm;Ean
Ferro De Passar Roupas Black+decker Vfa1110tm Metalico 127v;159;https://lista.mercadolivre.com.br/7896525011095#D[A:7896525011095];1940;90;1;FERRO BLACK DECKER AUTOMAT VFA1110-90-1;22;1010302010;1030201;85164000;7896525011095
Ferro De Passar Roupas Black+decker Vfa Preto Prateado 127v;146;https://lista.mercadolivre.com.br/7896525011095#D[A:7896525011095];1940;90;1;FERRO BLACK DECKER AUTOMAT VFA1110-90-1;22;1010302010;1030201;85164000;7896525011095
Ferro De Passar Elétrico A Seco Preto E Cromado 1000w - Blac;214;https://lista.mercadolivre.com.br/7896525011095#D[A:7896525011095];1940;90;1;FERRO BLACK DECKER AUTOMAT VFA1110-90-1;22;1010302010;1030201;85164000;7896525011095
Ferro De Passar Roupas Vfa Elétrico Black & Decker Seco Pret;174,99;https://lista.mercadolivre.com.br/7896525011095#D[A:7896525011095];1940;90;1;FERRO BLACK DECKER AUTOMAT VFA1110-90-1;22;1010302010;1030201;85164000;7896525011095
Ferro De Passar Roupas Black+decker Vfa Preto E Prateado127v;159;https://lista.mercadolivre.com.br/7896525011095#D[A:7896525011095];1940;90;1;FERRO BLACK DECKER AUTOMAT VFA1110-90-1;22;1010302010;1030201;85164000;7896525011095
Ferro De Passar A Seco Elétrico Black & Decker Vfa1110tm2 Automático Tradicional Preto Base Alumínio 110v;160;https://lista.mercadolivre.com.br/7896525011095#D[A:7896525011095];1940;90;1;FERRO BLACK DECKER AUTOMAT VFA1110-90-1;22;1010302010;1030201;85164000;7896525011095
Ferro 127v Black+decker Vfa1110tm2 Pto;163;https://lista.mercadolivre.com.br/7896525011095#D[A:7896525011095];1940;90;1;FERRO BLACK DECKER AUTOMAT VFA1110-90-1;22;1010302010;1030201;85164000;7896525011095
Ferro De Passar Roupa Black Decker Modelo Vfa1110tm2 Com Bas;179,07;https://lista.mercadolivre.com.br/7896525011095#D[A:7896525011095];1940;90;1;FERRO BLACK DECKER AUTOMAT VFA1110-90-1;22;1010302010;1030201;85164000;7896525011095
Ferro De Passar A Seco Black + Decker Vfa1110 Classic 127v;190;https://lista.mercadolivre.com.br/7896525011095#D[A:7896525011095];1940;90;1;FERRO BLACK DECKER AUTOMAT VFA1110-90-1;22;1010302010;1030201;85164000;7896525011095
Ferro De Passar Roupas Black & Decker Automático Seco Preto;222,63;https://lista.mercadolivre.com.br/7896525011095#D[A:7896525011095];1940;90;1;FERRO BLACK DECKER AUTOMAT VFA1110-90-1;22;1010302010;1030201;85164000;7896525011095
Ferro De Passar Roupas Black & Decker Automático Seco Preto;212,03;https://lista.mercadolivre.com.br/7896525011095#D[A:7896525011095];1940;90;1;FERRO BLACK DECKER AUTOMAT VFA1110-90-1;22;1010302010;1030201;85164000;7896525011095
Ferro De Passar A Seco Vfa1110tm2 127v Preto Black&decker;171,14;https://lista.mercadolivre.com.br/7896525011095#D[A:7896525011095];1940;90;1;FERRO BLACK DECKER AUTOMAT VFA1110-90-1;22;1010302010;1030201;85164000;7896525011095
Ferro De Passar Roupas Elétrico Vfa1110 Black Decker;189;https://lista.mercadolivre.com.br/7896525011095#D[A:7896525011095];1940;90;1;FERRO BLACK DECKER AUTOMAT VFA1110-90-1;22;1010302010;1030201;85164000;7896525011095
Ferro De Passar Roupas Black+decker Preto Prateado 127v;188,85;https://lista.mercadolivre.com.br/7896525011095#D[A:7896525011095];1940;90;1;FERRO BLACK DECKER AUTOMAT VFA1110-90-1;22;1010302010;1030201;85164000;7896525011095
Máquina De Cortar Cabelo Hair Stylo Cr-02 Mondial 110v;52,13;https://lista.mercadolivre.com.br/7896525011095#D[A:7896525011095];1940;90;1;FERRO BLACK DECKER AUTOMAT VFA1110-90-1;22;1010302010;1030201;85164000;7896525011095
Ferro De Passar A Seco Vfa1110tm2 127v Preto Black&decker;160,05;https://lista.mercadolivre.com.br/7896525011095#D[A:7896525011095];1940;90;1;FERRO BLACK DECKER AUTOMAT VFA1110-90-1;22;1010302010;1030201;85164000;7896525011095
Ferro De Passar Roupa A Seco Black&d Retro Tradicional 127v;164,33;https://lista.mercadolivre.com.br/7896525011095#D[A:7896525011095];1940;90;1;FERRO BLACK DECKER AUTOMAT VFA1110-90-1;22;1010302010;1030201;85164000;7896525011095
Ferro De Passar Roupa A Seco Black+decker 127v Preto\u002Fcromado;159,89;https://lista.mercadolivre.com.br/7896525011095#D[A:7896525011095];1940;90;1;FERRO BLACK DECKER AUTOMAT VFA1110-90-1;22;1010302010;1030201;85164000;7896525011095
Ferro De Passar A Seco Black+decker Vfa1110 Base Aluminio;170,14;https://lista.mercadolivre.com.br/7896525011095#D[A:7896525011095];1940;90;1;FERRO BLACK DECKER AUTOMAT VFA1110-90-1;22;1010302010;1030201;85164000;7896525011095
Ferro De Passar Seco Black&decker Vfa1110tm2 110v Reembalado;165,45;https://lista.mercadolivre.com.br/7896525011095#D[A:7896525011095];1940;90;1;FERRO BLACK DECKER AUTOMAT VFA1110-90-1;22;1010302010;1030201;85164000;7896525011095
Ferro A Seco Metalico Vfa Black+decker Oferta;157,29;https://lista.mercadolivre.com.br/7896525011095#D[A:7896525011095];1940;90;1;FERRO BLACK DECKER AUTOMAT VFA1110-90-1;22;1010302010;1030201;85164000;7896525011095
Ferro Passar A Seco Vfaeco5 Base Alumínio Black Decker 127v;176,91;https://lista.mercadolivre.com.br/7896525011095#D[A:7896525011095];1940;90;1;FERRO BLACK DECKER AUTOMAT VFA1110-90-1;22;1010302010;1030201;85164000;7896525011095
Freezer Vertical Consul Slim 142 Litros - Cvu20gb Cor Branco 110v;2349;https://lista.mercadolivre.com.br/7891129196223#D[A:7891129196223];2098;13;1;FREEZER CONSUL VERTICAL 1P 142L CVU20GBANA-13-1;59;1010102030;1010203;84184000;7891129196223
Freezer Vertical Consul Slim 142 Litros - Cvu20gb Cor Branco 220v;2570,53;https://lista.mercadolivre.com.br/7891129196223#D[A:7891129196223];2098;13;1;FREEZER CONSUL VERTICAL 1P 142L CVU20GBANA-13-1;59;1010102030;1010203;84184000;7891129196223
Freezer 1 Porta 142 Litros Consul - Cvu20gb;2498,43;https://lista.mercadolivre.com.br/7891129196223#D[A:7891129196223];2098;13;1;FREEZER CONSUL VERTICAL 1P 142L CVU20GBANA-13-1;59;1010102030;1010203;84184000;7891129196223
Freezer Vertical Consul Slim 142 Litros - Cvu20gb;2349;https://lista.mercadolivre.com.br/7891129196223#D[A:7891129196223];2098;13;1;FREEZER CONSUL VERTICAL 1P 142L CVU20GBANA-13-1;59;1010102030;1010203;84184000;7891129196223
Freezer Vertical Consul Cvu20 142 Litros Branco 127v;3899;https://lista.mercadolivre.com.br/7891129196223#D[A:7891129196223];2098;13;1;FREEZER CONSUL VERTICAL 1P 142L CVU20GBANA-13-1;59;1010102030;1010203;84184000;7891129196223
Freezer Vertical Consul Cvu20 142 Litros Branco 127v;3619;https://lista.mercadolivre.com.br/7891129196223#D[A:7891129196223];2098;13;1;FREEZER CONSUL VERTICAL 1P 142L CVU20GBANA-13-1;59;1010102030;1010203;84184000;7891129196223
Freezer Vertical Consul Slim 142 Litros Cvu20gbana 110v;2821,18;https://lista.mercadolivre.com.br/7891129196223#D[A:7891129196223];2098;13;1;FREEZER CONSUL VERTICAL 1P 142L CVU20GBANA-13-1;59;1010102030;1010203;84184000;7891129196223
Prateleira Porta Freezer Geladeira Electrolux - 67404018;77;https://lista.mercadolivre.com.br/7896584014563#D[A:7896584014563];2103;13;1;FREEZER ELECTROLUX H210-13-1;73;1010102010;1010201;84183000;7896584014563
Kit Dobradiça Tampa Lavadora Electrolux Lt12f Lt15f 63000038;58,99;https://lista.mercadolivre.com.br/7896584054132#D[A:7896584054132];2455;13;1;LAVAD ELECTROLUX 15KG LT15F-13-1;73;1010107030;1010703;84502090;7896584054132
Atuador De Freio Electrolux Original 127v;75;https://lista.mercadolivre.com.br/7896584054132#D[A:7896584054132];2455;13;1;LAVAD ELECTROLUX 15KG LT15F-13-1;73;1010107030;1010703;84502090;7896584054132
W11543434 Placa De Potencia 220v Bwk16a\u002Fbwk17a Versão 00 10e;698;https://lista.mercadolivre.com.br/7896584054132#D[A:7896584054132];2455;13;1;LAVAD ELECTROLUX 15KG LT15F-13-1;73;1010107030;1010703;84502090;7896584054132
Mangueira Tanque Bomba Lavadora Electrolux Lm08 Lados Iguais;30,81;https://lista.mercadolivre.com.br/7896584047318#D[A:7896584047318];2456;0;1;LAVAD ELECTROLUX LTC15-0-1;73;1010107030;1010703;84502090;7896584047318
Tirante Mola De Suspensão Do Tanque Electrolux - Kit 4 Peças;14;https://lista.mercadolivre.com.br/7896584047318#D[A:7896584047318];2456;0;1;LAVAD ELECTROLUX LTC15-0-1;73;1010107030;1010703;84502090;7896584047318
Mangueira Entrada De Água Maquina Lavar De 5 Metros;33,24;https://lista.mercadolivre.com.br/7896584047318#D[A:7896584047318];2456;0;1;LAVAD ELECTROLUX LTC15-0-1;73;1010107030;1010703;84502090;7896584047318
Mangueira Pressostato Silicone Máquina De Lavar 3 Metros;15,99;https://lista.mercadolivre.com.br/7896584047318#D[A:7896584047318];2456;0;1;LAVAD ELECTROLUX LTC15-0-1;73;1010107030;1010703;84502090;7896584047318
Retentor Lavadora Electrolux Ltc10 Ltc12 Ltd11 Lte09 Lte12;21;https://lista.mercadolivre.com.br/7896584047318#D[A:7896584047318];2456;0;1;LAVAD ELECTROLUX LTC15-0-1;73;1010107030;1010703;84502090;7896584047318
Trava Porta Electrolux Lava E Seca Lse12 3619047240 110v;135;https://lista.mercadolivre.com.br/7896584047318#D[A:7896584047318];2456;0;1;LAVAD ELECTROLUX LTC15-0-1;73;1010107030;1010703;84502090;7896584047318
Trava Porta Electrolux Lava E Seca Lse12 3619047240 110v;135;https://lista.mercadolivre.com.br/7896584047318#D[A:7896584047318];2456;0;1;LAVAD ELECTROLUX LTC15-0-1;73;1010107030;1010703;84502090;7896584047318
Mangueira Entrada De Água P\u002F Maquinas De Lavar (1.4 Metro);22;https://lista.mercadolivre.com.br/7896584047318#D[A:7896584047318];2456;0;1;LAVAD ELECTROLUX LTC15-0-1;73;1010107030;1010703;84502090;7896584047318
Placa Potencia Erf2510ud Refrig Electrolux A96969515 Orig;258,95;https://lista.mercadolivre.com.br/7896584047318#D[A:7896584047318];2456;0;1;LAVAD ELECTROLUX LTC15-0-1;73;1010107030;1010703;84502090;7896584047318
Trava Porta Electrolux Lava E Seca Lse12 3619047240 110v;133,65;https://lista.mercadolivre.com.br/7896584047318#D[A:7896584047318];2456;0;1;LAVAD ELECTROLUX LTC15-0-1;73;1010107030;1010703;84502090;7896584047318
Panela De Pressão 4,5 Litros Panelux Classic Polida Alumínio Cor Prateado;45,15;https://lista.mercadolivre.com.br/7898147771029#D[A:7898147771029];3007;410;0;PANELA PRESSAO PANELUX 4.5L POLIDA-410-0;184;1060101020;6010102;76151000;7898147771029
Panela De Pressão 4,5 Litros Alumínio Polido Panelux Classic Cor Cinza;53,21;https://lista.mercadolivre.com.br/7898147771029#D[A:7898147771029];3007;410;0;PANELA PRESSAO PANELUX 4.5L POLIDA-410-0;184;1060101020;6010102;76151000;7898147771029
Panela De Pressão 4,5 Litros Panelux Cor Alumínio Polido;56;https://lista.mercadolivre.com.br/7898147771029#D[A:7898147771029];3007;410;0;PANELA PRESSAO PANELUX 4.5L POLIDA-410-0;184;1060101020;6010102;76151000;7898147771029
Panela De Pressão 4,5 Litros Alumínio Polido Panelux Classic;52,07;https://lista.mercadolivre.com.br/7898147771029#D[A:7898147771029];3007;410;0;PANELA PRESSAO PANELUX 4.5L POLIDA-410-0;184;1060101020;6010102;76151000;7898147771029
Panela De Pressão Aluminio Nacional 12l Fechamento Externo Cor Alumínio Polido;314,41;https://lista.mercadolivre.com.br/7898147771029#D[A:7898147771029];3007;410;0;PANELA PRESSAO PANELUX 4.5L POLIDA-410-0;184;1060101020;6010102;76151000;7898147771029
Panela De Pressão 4,5litros Panelux A Mais Vendida Do Brasil;54;https://lista.mercadolivre.com.br/7898147771029#D[A:7898147771029];3007;410;0;PANELA PRESSAO PANELUX 4.5L POLIDA-410-0;184;1060101020;6010102;76151000;7898147771029
Panela De Pressão 4,5 Litros Alumínio Polido Panelux Classic;56,39;https://lista.mercadolivre.com.br/7898147771029#D[A:7898147771029];3007;410;0;PANELA PRESSAO PANELUX 4.5L POLIDA-410-0;184;1060101020;6010102;76151000;7898147771029
Panela De Pressão 4,5litros Panelux A Mais Vendida Do Brasil;59;https://lista.mercadolivre.com.br/7898147771029#D[A:7898147771029];3007;410;0;PANELA PRESSAO PANELUX 4.5L POLIDA-410-0;184;1060101020;6010102;76151000;7898147771029
Panela De Pressão 4,5 Litros Panelux A Mais Vendida;66,88;https://lista.mercadolivre.com.br/7898147771029#D[A:7898147771029];3007;410;0;PANELA PRESSAO PANELUX 4.5L POLIDA-410-0;184;1060101020;6010102;76151000;7898147771029
Panela De Pressão 4,5 Litros Panelux Classic Polida Alumínio;66,43;https://lista.mercadolivre.com.br/7898147771029#D[A:7898147771029];3007;410;0;PANELA PRESSAO PANELUX 4.5L POLIDA-410-0;184;1060101020;6010102;76151000;7898147771029
Panela De Pressão 4,5 Panelux Classic Alumínio Cor Prateado;80;https://lista.mercadolivre.com.br/7898147771029#D[A:7898147771029];3007;410;0;PANELA PRESSAO PANELUX 4.5L POLIDA-410-0;184;1060101020;6010102;76151000;7898147771029
