Name;Price;URL;idproduto;idgradex;idgradey;descrição;idmarca;iddepartamento;classificacao;idcodigonbm;Ean
Ferro de Passar a seco BLACK&DECKER AUTOMATICO 110V;179,90;https://www.magazineluiza.com.br/ferro-de-passar-a-seco-black-decker-automatico-110v/p/kg0c026jgg/ep/elfs/;1940;90;1;FERRO BLACK DECKER AUTOMAT VFA1110-90-1;22;1010302010;1030201;85164000;7896525011095
Ferro de Passar 1100W a Seco Retrô Black + Decker VFA1110TM2 - Atenção Voltagem Somente 127v;235,00;https://www.magazineluiza.com.br/ferro-de-passar-1100w-a-seco-retro-black-decker-vfa1110tm2-atencao-voltagem-somente-127v-black-decker/p/kd45333hb5/ep/elfs/;1940;90;1;FERRO BLACK DECKER AUTOMAT VFA1110-90-1;22;1010302010;1030201;85164000;7896525011095
Ferro de Passar Roupa a Seco Black&Decker VFA-1110 Preto;183,74;https://www.magazineluiza.com.br/ferro-de-passar-roupa-a-seco-black-decker-vfa-1110-preto/p/kg07ce6g7j/ep/ferr/;1940;90;1;FERRO BLACK DECKER AUTOMAT VFA1110-90-1;22;1010302010;1030201;85164000;7896525011095
Ferro de Passar VFA1110 a Seco Com Base de Alumínio Black Decker;159,00;https://www.magazineluiza.com.br/ferro-de-passar-vfa1110-a-seco-com-base-de-aluminio-black-decker/p/dbhedachdj/ep/elfs/;1940;90;1;FERRO BLACK DECKER AUTOMAT VFA1110-90-1;22;1010302010;1030201;85164000;7896525011095
Ferro de Passar Roupas Black+Decker VFA1110 110/127V - 1100w;210,37;https://www.magazineluiza.com.br/ferro-de-passar-roupas-black-decker-vfa1110-110-127v-1100w-black-decker/p/faj23djgd9/ep/elfs/;1940;90;1;FERRO BLACK DECKER AUTOMAT VFA1110-90-1;22;1010302010;1030201;85164000;7896525011095
Ferro de Passar Roupa Tradicional BlackDecker;193,70;https://www.magazineluiza.com.br/ferro-de-passar-roupa-tradicional-blackdecker-black-e-decker/p/kh3141cek0/ep/ferr/;1940;90;1;FERRO BLACK DECKER AUTOMAT VFA1110-90-1;22;1010302010;1030201;85164000;7896525011095
Ferro de Passar a Seco Black&Decker VFA Com 7 Níveis de Temperatura e 1100W Preto e Prata;183,00;https://www.magazineluiza.com.br/ferro-de-passar-a-seco-black-decker-vfa-com-7-niveis-de-temperatura-e-1100w-preto-e-prata-black-decker/p/bc311k4409/ep/elfs/;1940;90;1;FERRO BLACK DECKER AUTOMAT VFA1110-90-1;22;1010302010;1030201;85164000;7896525011095
Ferro de Passar a Seco Metálico Black Decker 127v;177,14;https://www.magazineluiza.com.br/ferro-de-passar-a-seco-metalico-black-decker-127v/p/fh1h8c0aaf/ep/elfs/;1940;90;1;FERRO BLACK DECKER AUTOMAT VFA1110-90-1;22;1010302010;1030201;85164000;7896525011095
Ferro a Seco Black & Decker Automático 110V Preto;144,66;https://www.magazineluiza.com.br/ferro-a-seco-black-decker-automatico-110v-preto-black-decker/p/ebbj684b29/ep/elfs/;1940;90;1;FERRO BLACK DECKER AUTOMAT VFA1110-90-1;22;1010302010;1030201;85164000;7896525011095
Ferro de Passar Roupas A Seco Black&ampDecker VFA 127V;209,51;https://www.magazineluiza.com.br/ferro-de-passar-roupas-a-seco-black-ampdecker-vfa-127v-black-decker/p/dd9k627ag7/ep/elfs/;1940;90;1;FERRO BLACK DECKER AUTOMAT VFA1110-90-1;22;1010302010;1030201;85164000;7896525011095
