SKU;Cód PAI;Name;Price;URL
3251.0;21954.0;Kit 5 Espalhador Para Fogão Realce F3 Zeus Glass 3g1med1mini;39,99;https://lista.mercadolivre.com.br/fogao-realce-ares-glass-4b#D[A:FOGAO%20REALCE%20ARES%20GLASS%204B]
3251.0;21954.0;Fogão De Piso 4 Bocas Ares Glass Realce;916,15;https://lista.mercadolivre.com.br/fogao-realce-ares-glass-4b#D[A:FOGAO%20REALCE%20ARES%20GLASS%204B]
3251.0;21954.0;Fogão Ares Plus 4 Bocas Bivolt Branco Af;826,73;https://lista.mercadolivre.com.br/fogao-realce-ares-glass-4b#D[A:FOGAO%20REALCE%20ARES%20GLASS%204B]
3251.0;21954.0;Fogão Gás Realce Ares Glass 5 Bocas, De Piso, Acend., Preto;1249,88;https://lista.mercadolivre.com.br/fogao-realce-ares-glass-4b#D[A:FOGAO%20REALCE%20ARES%20GLASS%204B]
3251.0;21954.0;4 Tampas Espalhador Chama Fogão Atlas Mônaco Glass 3pq + 1gd;18;https://lista.mercadolivre.com.br/fogao-realce-ares-glass-4b#D[A:FOGAO%20REALCE%20ARES%20GLASS%204B]
3251.0;21954.0;Fogão A Gás 4 Bocas Realce Ares Glass Preto - Pr;911;https://lista.mercadolivre.com.br/fogao-realce-ares-glass-4b#D[A:FOGAO%20REALCE%20ARES%20GLASS%204B]
3251.0;21954.0;Fogão Ares Plus 4 Bocas Bivolt Wt;826,73;https://lista.mercadolivre.com.br/fogao-realce-ares-glass-4b#D[A:FOGAO%20REALCE%20ARES%20GLASS%204B]
3251.0;21954.0;Kit 4 Queimador + Espalhador P\u002Ffogão Atlas Mônaco;37;https://lista.mercadolivre.com.br/fogao-realce-ares-glass-4b#D[A:FOGAO%20REALCE%20ARES%20GLASS%204B]
3251.0;21954.0;Kit 5 Tampinhas Para Fogão Realce F3 Zeus Glass 3g1med1mini;39,99;https://lista.mercadolivre.com.br/fogao-realce-ares-glass-4b#D[A:FOGAO%20REALCE%20ARES%20GLASS%204B]
3251.0;21954.0;Kit Fogão Realce Íris Glass 3 Queimadores + 3 Espalhadores;46;https://lista.mercadolivre.com.br/fogao-realce-ares-glass-4b#D[A:FOGAO%20REALCE%20ARES%20GLASS%204B]
3251.0;21954.0;Fogão De Piso 5 Bocas Ares Glass Realce;1210,52;https://lista.mercadolivre.com.br/fogao-realce-ares-glass-4b#D[A:FOGAO%20REALCE%20ARES%20GLASS%204B]
3251.0;21954.0;Fogão De Piso 5 Bocas Ares Glass Realce Wt;1221,58;https://lista.mercadolivre.com.br/fogao-realce-ares-glass-4b#D[A:FOGAO%20REALCE%20ARES%20GLASS%204B]
3251.0;21954.0;Fogão De Piso 4 Bocas Ares Glass Realce Wt;916,15;https://lista.mercadolivre.com.br/fogao-realce-ares-glass-4b#D[A:FOGAO%20REALCE%20ARES%20GLASS%204B]
3251.0;21954.0;Fogão Ares Plus 4 Bocas Bivolt Realce;827,83;https://lista.mercadolivre.com.br/fogao-realce-ares-glass-4b#D[A:FOGAO%20REALCE%20ARES%20GLASS%204B]
3251.0;21954.0;Fogão Industrial 4 Bocas Com Forno Realce Wt;1957,88;https://lista.mercadolivre.com.br/fogao-realce-ares-glass-4b#D[A:FOGAO%20REALCE%20ARES%20GLASS%204B]
3251.0;21954.0;Fogão Ares Plus 4 Bocas Bivolt Realce Wt;827,83;https://lista.mercadolivre.com.br/fogao-realce-ares-glass-4b#D[A:FOGAO%20REALCE%20ARES%20GLASS%204B]
3251.0;21954.0;Fogão De Piso 5 Bocas Ares Glass Realce Wt;1210,52;https://lista.mercadolivre.com.br/fogao-realce-ares-glass-4b#D[A:FOGAO%20REALCE%20ARES%20GLASS%204B]
3251.0;21954.0;Fogão Iris Glass 5 Bocas Bivolt Realce Wt;1610,52;https://lista.mercadolivre.com.br/fogao-realce-ares-glass-4b#D[A:FOGAO%20REALCE%20ARES%20GLASS%204B]
3251.0;21954.0;Fogão Iris Glass 4 Bocas Preto - Realce;1232;https://lista.mercadolivre.com.br/fogao-realce-ares-glass-4b#D[A:FOGAO%20REALCE%20ARES%20GLASS%204B]
3251.0;21954.0;Fogão Realce Ares Glass 4 Bocas Forno Com Visor;749,99;https://lista.mercadolivre.com.br/fogao-realce-ares-glass-4b#D[A:FOGAO%20REALCE%20ARES%20GLASS%204B]
3251.0;21954.0;Fogão 5 Bocas A Gás Acend. Automático Realce Bivolt Cr211;2476;https://lista.mercadolivre.com.br/fogao-realce-ares-glass-4b#D[A:FOGAO%20REALCE%20ARES%20GLASS%204B]
3251.0;21954.0;Fogão Ares Glass 5 Bocas Branco - Realce;1490;https://lista.mercadolivre.com.br/fogao-realce-ares-glass-4b#D[A:FOGAO%20REALCE%20ARES%20GLASS%204B]
3251.0;21954.0;Fogão Ares Glass 5 Bocas Branco - Realce;1490;https://lista.mercadolivre.com.br/fogao-realce-ares-glass-4b#D[A:FOGAO%20REALCE%20ARES%20GLASS%204B]
3251.0;21954.0;Kit Espalhador Peças Fogão Realce Ares Glass - 4 Bocas;24,99;https://lista.mercadolivre.com.br/fogao-realce-ares-glass-4b#D[A:FOGAO%20REALCE%20ARES%20GLASS%204B]
3251.0;21954.0;Fogão Realce Ares Glass 4 Bocas Automático Mesa De Vidro Cor Branco Tipo De Conexão Gás Engarrafado Bvolt;1175,29;https://lista.mercadolivre.com.br/fogao-realce-ares-glass-4b#D[A:FOGAO%20REALCE%20ARES%20GLASS%204B]
3251.0;21954.0;Kit 4 Espalhadores Fogão Realce Apolo E Ares Glass 4 Bocas;22,99;https://lista.mercadolivre.com.br/fogao-realce-ares-glass-4b#D[A:FOGAO%20REALCE%20ARES%20GLASS%204B]
3251.0;21954.0;Fogão Ares Glass 5 Bocas Preto Eh;1210,52;https://lista.mercadolivre.com.br/fogao-realce-ares-glass-4b#D[A:FOGAO%20REALCE%20ARES%20GLASS%204B]
3251.0;21954.0;Fogão Industrial Realce 4b Atena S\u002F Forno - Ref.23432 Cor Preto Tipo De Conexão Gás Engarrafado;1399;https://lista.mercadolivre.com.br/fogao-realce-ares-glass-4b#D[A:FOGAO%20REALCE%20ARES%20GLASS%204B]
3251.0;21954.0;Fogão Industrial Realce 4b Atena S\u002F Forno - Ref.23432;1259;https://lista.mercadolivre.com.br/fogao-realce-ares-glass-4b#D[A:FOGAO%20REALCE%20ARES%20GLASS%204B]
3251.0;21954.0;Tampinhas Espalhadores Para Fogão Atlas Mônaco Glass 5 Bocas;33;https://lista.mercadolivre.com.br/fogao-realce-ares-glass-4b#D[A:FOGAO%20REALCE%20ARES%20GLASS%204B]
3251.0;21954.0;Kit 5 Bocas Para Fogão Realce F3 Zeus Glass 3g1med1mi Fp;78,99;https://lista.mercadolivre.com.br/fogao-realce-ares-glass-4b#D[A:FOGAO%20REALCE%20ARES%20GLASS%204B]
3251.0;21954.0;Kit 5 Espalhadores Fogão Realce Ares Glass 5 Bocas Original;37;https://lista.mercadolivre.com.br/fogao-realce-ares-glass-4b#D[A:FOGAO%20REALCE%20ARES%20GLASS%204B]
3251.0;21954.0;Fogão Zeus Glass Super 5 Bocas Realce;1285,56;https://lista.mercadolivre.com.br/fogao-realce-ares-glass-4b#D[A:FOGAO%20REALCE%20ARES%20GLASS%204B]
3251.0;21954.0;Fogão Industrial Realce 4b Atena S\u002F Forno - Ref.23432;1259;https://lista.mercadolivre.com.br/fogao-realce-ares-glass-4b#D[A:FOGAO%20REALCE%20ARES%20GLASS%204B]
3251.0;21954.0;Kit P\u002F Fogão Atlas Monaco 4 Bocas Espalhador + Queimador;31;https://lista.mercadolivre.com.br/fogao-realce-ares-glass-4b#D[A:FOGAO%20REALCE%20ARES%20GLASS%204B]
3251.0;21954.0;Kit P\u002F Fogão Atlas Monaco 4 Bocas Espalhador + Queimador;37;https://lista.mercadolivre.com.br/fogao-realce-ares-glass-4b#D[A:FOGAO%20REALCE%20ARES%20GLASS%204B]
3251.0;21954.0;Fogão 4b A Gás Realce Bivolt Cr201 Branco;1239;https://lista.mercadolivre.com.br/fogao-realce-ares-glass-4b#D[A:FOGAO%20REALCE%20ARES%20GLASS%204B]
3251.0;21954.0;Kit P\u002F Fogão Atlas Monaco 4 Bocas Espalhador + Queimador;31;https://lista.mercadolivre.com.br/fogao-realce-ares-glass-4b#D[A:FOGAO%20REALCE%20ARES%20GLASS%204B]
3251.0;21954.0;Kit P\u002F Fogão Atlas Monaco 4 Bocas Espalhador + Queimador;29,99;https://lista.mercadolivre.com.br/fogao-realce-ares-glass-4b#D[A:FOGAO%20REALCE%20ARES%20GLASS%204B]
3251.0;21954.0;Kit P\u002F Fogão Atlas Monaco 4 Bocas Espalhador + Queimador;29,99;https://lista.mercadolivre.com.br/fogao-realce-ares-glass-4b#D[A:FOGAO%20REALCE%20ARES%20GLASS%204B]
3251.0;21954.0;Kit P\u002F Fogão Atlas Monaco 4 Bocas Espalhador + Queimador;31;https://lista.mercadolivre.com.br/fogao-realce-ares-glass-4b#D[A:FOGAO%20REALCE%20ARES%20GLASS%204B]
